domain,agency,status,redirect,xml,items,pdfs,completion
gratefulmed.com,"Department of Health and Human Services",500,"undefined",false,0,0,0
genbank.com,"Department of Health and Human Services",500,"undefined",false,0,0,0
everytry.org,"Department of Health and Human Services",500,"undefined",false,0,0,0
everytrycounts.org,"Department of Health and Human Services",500,"undefined",false,0,0,0
every-try-counts.org,"Department of Health and Human Services",500,"undefined",false,0,0,0
directihs.net,"Department of Health and Human Services",500,"undefined",false,0,0,0
fatherhoodgov.info,"Department of Health and Human Services",200,"https://fatherhoodgov.info/sitemap.xml",true,1,0,1
docline.org,"Department of Health and Human Services",500,"undefined",false,0,0,0
detroitself.org,"Department of Health and Human Services",404,"https://detroitself.org/sitemap.xml",false,0,0,0
csscoperations.com,"Department of Health and Human Services",404,"https://csscoperations.com/sitemap.xml",false,0,0,0
gem-measures.org,"Department of Health and Human Services",200,"https://cancercontrol.cancer.gov/brp/research/group-evaluated-measures",false,0,0,0
gem-beta.org,"Department of Health and Human Services",200,"https://www.gem-beta.org/sitemap.xml",true,204,0,1
citdbase.org,"Department of Health and Human Services",403,"undefined",false,0,0,0
coronaviruspreventionnetwork.org,"Department of Health and Human Services",200,"https://www.coronaviruspreventionnetwork.org/sitemap.xml",true,45,0,1
charmmtutorial.org,"Department of Health and Human Services",500,"undefined",false,0,0,0
chainonline.org,"Department of Health and Human Services",403,"undefined",false,0,0,0
cfsrportal.org,"Department of Health and Human Services",500,"undefined",false,0,0,0
charmm.org,"Department of Health and Human Services",500,"https://charmm.org/sitemap.xml",false,0,0,0
ccwdata.org,"Department of Health and Human Services",500,"undefined",false,0,0,0
ctsu.org,"Department of Health and Human Services",500,"undefined",false,0,0,0
cdcpartners.org,"Department of Health and Human Services",500,"undefined",false,0,0,0
cahpsusernetwork.net,"Department of Health and Human Services",500,"undefined",false,0,0,0
ahrqstg.org,"Department of Health and Human Services",500,"undefined",false,0,0,0
ahrqdev.org,"Department of Health and Human Services",500,"undefined",false,0,0,0
ahrqadmin.org,"Department of Health and Human Services",500,"undefined",false,0,0,0
actagainstaids.org,"Department of Health and Human Services",500,"undefined",false,0,0,0
americanmadechallenges.org,"Department of Energy",404,"https://americanmadeprogram.org/sitemap.xml",false,0,0,0
brainattackcoalition.org,"Department of Health and Human Services",200,"https://www.brainattackcoalition.org/sitemap.xml",true,24,0,0.08333333333333337
csosadev.net,"Court Services and Offender Supervision Agency",500,"undefined",false,0,0,0
dcsafesurrender.org,"Court Services and Offender Supervision Agency",404,"https://www.dcsafesurrender.org/sitemap.xml",false,0,0,0
cultureready.org,"Department of Defense",200,"https://www.cultureready.org/sitemap.xml",true,891,0,1
csosa.net,"Court Services and Offender Supervision Agency",404,"undefined",false,0,0,0
dcsafesurrender.net,"Court Services and Offender Supervision Agency",404,"https://www.dcsafesurrender.net/sitemap.xml",false,0,0,0
dcsafesurrender.com,"Court Services and Offender Supervision Agency",404,"https://www.dcsafesurrender.com/sitemap.xml",false,0,0,0
csosa.com,"Court Services and Offender Supervision Agency",404,"undefined",false,0,0,0
csosa.org,"Court Services and Offender Supervision Agency",404,"https://www.csosa.org/sitemap.xml",false,0,0,0
csosa.co,"Court Services and Offender Supervision Agency",500,"undefined",false,0,0,0
abmceducation.org,"American Battle Monuments Commission",500,"undefined",false,0,0,0
yesprograms.org,"Department of State",404,"https://yesprograms.org/sitemap.xml",false,0,0,0
csosa.biz,"Court Services and Offender Supervision Agency",404,"https://www.csosa.biz/sitemap.xml",false,0,0,0
yes-abroad.org,"Department of State",404,"https://yes-abroad.org/sitemap.xml",false,0,0,0
wibeaches.us,"Department of the Interior",404,"https://wibeaches.us/sitemap.xml",false,0,0,0
westpoint.edu,"Department of the Army",200,"https://www.westpoint.edu/sitemap.xml",true,1815,1,0.8695652173913043
westernmarylandcfc.org,"Combined Federal Campaign",500,"undefined",false,0,0,0
westernmacfc.org,"Combined Federal Campaign",500,"undefined",false,0,0,0
ycq2.org,"Department of Defense",200,"https://ycq2.org/sitemap_index.xml",true,215,0,1
war-on-pineapple.com,"Department of Homeland Security",500,"undefined",false,0,0,0
waterqualitydata.us,"Department of Interior",404,"https://www.waterqualitydata.us/sitemap.xml",false,0,0,0
voatour.com,"U.S. Agency for Global Media",404,"undefined",false,0,0,0
vetmedinfo.org,"Health and Human Services",500,"undefined",false,0,0,0
veteranshealthlibrary.org,"",500,"undefined",false,0,0,0
veteranscrisisline.net,"Department of Veterans Affairs",200,"https://www.veteranscrisisline.net/xmlsitemap",false,14,0,0.8666666666666667
csosa.mobi,"Court Services and Offender Supervision Agency",404,"http://www.csosa.mobi/sitemap.xml",false,0,0,0
csosa.me,"Court Services and Offender Supervision Agency",404,"http://www.csosa.me/sitemap.xml",false,0,0,0
csosa.info,"Court Services and Offender Supervision Agency",404,"http://www.csosa.info/sitemap.xml",false,0,0,0
voanews.com,"U.S. Agency for Global Media",200,"https://www.voanews.com/sitemap.xml",true,1,0,0.015873015873015928
usu.edu/beetle,"U.S. Forest Service",404,"https://www.usu.edu/beetle/sitemap.xml",false,0,0,1
usps.com,"U.S. Postal Service",200,"https://www.usps.com/sitemap.xml",true,93,0,0.8571428571428572
usuhs.edu,"Uniformed Services University of the Health Services",200,"https://www.usuhs.edu/sitemap.xml",true,2090,0,0.8846153846153846
vasc.org/erc,"National Aeronautics and Space Administration",404,"undefined",false,0,0,0
usmma.edu,"United States Merchant Marine Academy",200,"https://www.usmma.edu/sitemap.xml",true,2219,0,0.921875
ustraveldocs.com,"Department of State",404,"https://ustraveldocs.com/sitemap.xml",false,0,0,1
usma.edu,"Department of the Army",200,"https://www.usma.edu/sitemap.xml",true,1815,1,0.8695652173913043
usmc-mccs.org,"U.S. Marine Corps",404,"https://www.usmc-mccs.org/sitemap.xml",false,0,0,0
usembassy-china.org.cn,"Department of State",500,"undefined",false,0,0,0
usdirectexpress.com,"Bureau of Fiscal Service",404,"https://usdirectexpress.com/sitemap.xml",false,0,0,0
usda.mannlib.cornell.edu,"Department of Agriculture",200,"https://esmis.nal.usda.gov/sitemap.xml",true,2371,0,0.26190476190476186
uscgaux.info,"U.S. Coast Guard Auxiliary",404,"https://uscgaux.info/sitemap.xml",false,0,0,1
uscgboating.org,"U.S. Coast Guard",404,"https://uscgboating.org/sitemap.xml",false,0,0,0
usna.edu,"United States Naval Academy",200,"https://usna.edu/sitemap.xml",true,40,0,0
uscgnews.com,"U.S. Coast Guard",200,"https://www.uscgnews.com/sitemap_index.xml",true,179,0,0.8888888888888888
uscgalaska.com,"U.S. Coast Guard",200,"https://uscgalaska.com/",false,0,0,0
usarmymars.org,"US Army Network Enterprise Technology Command",404,"https://usarmymars.org/sitemap.xml",false,0,0,1
us-mission.ch,"Department of State",200,"http://www.us-mission.ch/sitemap.xml",false,0,0,1
uscga.edu,"U.S. Coast Guard",200,"https://uscga.edu/sitemap_index.xml",true,721,2,0.4882352941176471
tvars.com,"Tennessee Valley Authority",200,"https://tvars.com/wp-sitemap.xml",true,125,0,0.6818181818181819
tva.com,"Tennessee Valley Authority",403,"https://www.tva.com/sitemap.xml",false,0,0,0
trumanlibrary.org,"National Archives and Records Administration",500,"undefined",false,0,0,0
tvaed.com,"Tennessee Valley Authority",526,"https://www.tvaed.com/sitemap.xml",false,0,0,0
usafa.edu,"Department of the Air Force",200,"https://www.usafa.edu/sitemap_index.xml",true,1346,0,0.9518072289156626
todaysmilitary.com,"Department of Defense",200,"https://www.todaysmilitary.com/sitemap.xml",true,444,0,0.875
tnregionalcfc.org,"Combined Federal Campaign",500,"undefined",false,0,0,0
theshoalscfc.org,"Combined Federal Campaign",500,"undefined",false,0,0,0
usarmyjrotc.com,"Department of the Army",500,"undefined",false,0,0,0
todaysdocument.tumblr.com,"National Archives and Records Administration",200,"https://todaysdocument.tumblr.com/sitemap.xml",true,4002,0,0.017094017094017144
t2health.org,"Department of Defense",500,"undefined",false,0,0,0
thecommunityguide.org,"Department of Health and Human Services",404,"https://thecommunityguide.org/sitemap.xml",false,0,0,0
suncoastcfc.org,"Combined Federal Campaign",500,"undefined",false,0,0,0
suicidepreventionlifeline.org,"Substance Abuse and Mental Health Services Administration",200,"https://988lifeline.org/sitemap.xml",true,141,0,0.6666666666666667
southwestfloridacfc.org,"Combined Federal Campaign",500,"undefined",false,0,0,0
socalcfc.org,"Combined Federal Campaign",500,"undefined",false,0,0,0
trainex.org,"Environmental Protection Agency",404,"https://trainex.org/sitemap.xml",false,0,0,0
smokymountaincfc.org,"Combined Federal Campaign",500,"undefined",false,0,0,0
stripes.com,"Department of Defense",200,"https://www.stripes.com/sitemap/sitemap-index.xml",true,0,0,0
spaceappschallenge.org,"National Aeronautics and Space Administration",200,"https://www.spaceappschallenge.org/sitemap.xml",true,4,0,0.13793103448275867
usmcu.edu,"Marine Corps University",404,"https://www.usmcu.edu/sitemap.xml",false,0,0,0
smithsonianscience.org,"Smithsonian Institution",200,"https://smithsonianscience.org/sitemap.xml",true,265,0,0.6901408450704225
smithsonianmag.com,"Smithsonian Institution",200,"https://www.smithsonianmag.com/sitemap.xml",true,1284,0,0.5425531914893618
smithsonianjourneys.org,"Smithsonian Institution",403,"https://www.smithsonianjourneys.org/sitemap.xml",false,0,0,0
smokeybear.com,"U.S. Forest Service",200,"https://smokeybear.com/sitemaps-1-sitemap.xml",true,24,0,1
smithsonianstore.com,"Smithsonian Institution",200,"https://www.smithsonianstore.com/content/sitemaps/sitemap-index.xml",true,3221,0,0.9657534246575342
smithsonian.org,"Smithsonian Institution",200,"https://www.si.edu/",false,0,0,0
smithsonianeducation.org,"Smithsonian Institution",404,"https://smithsonianeducation.org/sitemap.xml",false,0,0,1
sftool.ecomedes.com,"General Services Administration",403,"undefined",false,0,0,0
sepa-lehighcfc.org,"Combined Federal Campaign",500,"undefined",false,0,0,0
senccfc.org,"Combined Federal Campaign",500,"undefined",false,0,0,0
si.edu,"Smithsonian Institution",200,"https://www.si.edu/sitemap.xml",true,0,0,0
sanangelocfc.org,"Combined Federal Campaign",500,"undefined",false,0,0,0
rockymountaincfc.org,"Combined Federal Campaign",500,"undefined",false,0,0,0
smithsonianchannel.com,"Smithsonian Institution",200,"https://www.smithsonianchannel.com/xmlsitemap/episode",false,5,0,0
smithsonian.com,"Smithsonian Institution",200,"https://smithsonian.com/sitemap.xml",true,11,0,1
riandsemacfc.org,"Combined Federal Campaign",500,"undefined",false,0,0,0
richmondfed.org,"Federal Reserve Board",200,"https://www.richmondfed.org/sitemap.xml",true,5490,0,0.9387755102040817
rferl.org,"U.S. Agency for Global Media",200,"https://www.rferl.org/sitemap.xml",true,0,0,0
rewardsforjustice.net,"Department of State",200,"https://rewardsforjustice.net/wp-sitemap.xml",true,362,0,0.25531914893617025
rfa.org,"U.S. Agency for Global Media",200,"https://www.rfa.org/arc/outboundfeeds/english/sitemap-news/",false,100,0,0.23728813559322037
radiosawa.com,"U.S. Agency for Global Media",500,"undefined",false,0,0,0
r3coastal.com,"Federal Emergency Management Agency",500,"undefined",false,0,0,0
psoppc.net,"Department of Health and Human Services",500,"undefined",false,0,0,0
psoppc.com,"Department of Health and Human Services",500,"undefined",false,0,0,0
reirs.com,"Nuclear Regulatory Commission",404,"https://reirs.com/sitemap.xml",false,0,0,0
realwarriors.net,"Department of Defense",404,"https://www.realwarriors.net/sitemap.xml",false,0,0,0
psctool.us,"Department of Defense",200,"https://psctool.us/sitemap.xml",false,0,0,1
potomaccfc.org,"Combined Federal Campaign",500,"undefined",false,0,0,0
psoppc.org,"Department of Health and Human Services",403,"https://www.psoppc.org/sitemap.xml",false,0,0,1
pepfar.net,"Department of State",500,"undefined",false,0,0,0
peakcfc.com,"Combined Federal Campaign",500,"undefined",false,0,0,0
project-open-data.github.io,"General Services Administration",200,"https://resources.data.gov/",false,0,0,0
pbgc.org,"Pension Benefit Guarantee Corporation",200,"https://www.pbgc.gov/sitemap.xml",true,6301,0,0.95
philadelphiafed.org,"Federal Reserve Board",200,"https://www.philadelphiafed.org/sitemap.xml",true,4011,0,0.9454545454545454
pantex.com,"Department of Energy",500,"undefined",false,0,0,0
pacificnwcfc.org,"Combined Federal Campaign",500,"undefined",false,0,0,0
oup.org,"Department of Housing and Urban Development",200,"https://oup.org/sitemap.xml",true,1,0,1
orvcfc.org,"Combined Federal Campaign",500,"undefined",false,0,0,0
ownyourlimits.org,"Department of Defense",200,"https://ownyourlimits.org/sitemap_index.xml",true,217,0,0.9714285714285714
onslowcountycfc.org,"Combined Federal Campaign",500,"undefined",false,0,0,0
pancanal.com,"Autoridad del Canal de Panama/Panama Canal Authority",200,"https://pancanal.com/sitemap_index.xml",true,2771,21,0.9655172413793104
phpartners.org,"Employment and Training Administration",200,"https://www.phpartners.org/sitemap_index.xml",true,104,0,0
onecpd.info,"Department of Housing and Urban Development",404,"undefined",false,0,0,0
nyccfc.org,"Combined Federal Campaign",500,"undefined",false,0,0,0
okaloosa-waltoncfc.org,"Combined Federal Campaign",500,"undefined",false,0,0,0
onetonline.org,"Employment and Training Administration",404,"https://www.onetonline.org/sitemap.xml",false,0,0,0
nutmegcfc.org,"Combined Federal Campaign",500,"undefined",false,0,0,0
northwestfloridacfc.org,"Combined Federal Campaign",200,"http://www.northwestfloridacfc.org/sitemap.xml",false,0,0,1
northernnewenglandcfc.org,"Combined Federal Campaign",500,"undefined",false,0,0,0
nsopw.org,"Department of Justice",200,"https://nsopw.gov/",false,0,0,0
northcoastcfc.org,"Combined Federal Campaign",500,"undefined",false,0,0,0
norcalcfc.org,"Combined Federal Campaign",500,"undefined",false,0,0,0
northernlightscfc.org,"Combined Federal Campaign",200,"https://paitohk.vegas/",false,0,0,0
noradsanta.org,"North American Aerospace Defense Command",404,"https://www.noradsanta.org/sitemap.xml",false,0,0,1
nps.edu,"Naval Postgraduate School",200,"https://nps.edu/sitemap.xml",true,0,0,0
newmexicocfc.org,"Combined Federal Campaign",500,"undefined",false,0,0,0
scportal.us,"Department of Defense",500,"undefined",false,0,0,0
nevadacfc.org,"Combined Federal Campaign",500,"undefined",false,0,0,0
nepacfc.org,"Combined Federal Campaign",500,"undefined",false,0,0,0
newyorkfed.org,"Federal Reserve Board",200,"https://www.newyorkfed.org/sitemap.xml",false,0,0,0
nefl-sega-cfc.org,"Combined Federal Campaign",200,"https://nefl-sega-cfc.org/sitemap.xml",true,1,0,0.19999999999999996
newhire-reporting.com,"Administration for Children and Families",404,"https://newhire-reporting.com/sitemap.xml",false,0,0,0
neabigread.org,"National Endowment for the Arts",500,"undefined",false,0,0,0
necfuture.com,"Federal Railroad Administration",404,"https://necfuture.com/sitemap.xml",false,0,0,0
ncwvcfc.org,"Combined Federal Campaign",500,"undefined",false,0,0,0
ndu.edu,"National Defense University",404,"https://www.ndu.edu/sitemap.xml",false,0,0,0
opengovplatform.org,"General Services Administration",200,"https://www.opengovplatform.org/sitemap_index.xml",true,12,0,1
nationalguard.com,"U.S. National Guard",200,"https://nationalguard.com/sitemap.xml",false,29374,17,1
navyreserve.com,"Department of the Navy",200,"https://www.navy.com/joining/ways-to-join/reserve",false,0,0,0
nationalatlas.com,"Department of Interior",500,"undefined",false,0,0,0
nagb.org,"National Assessment Governing Board",200,"https://www.nagb.gov/sitemap.xml",true,1090,0,0.9056603773584906
navy.com,"Department of the Navy",200,"https://www.navy.com/sitemap.xml",true,246,0,0.85
myfuture.com,"Department of Defense",200,"https://myfuture.com/sitemap-index.xml",true,7269,0,0.9615384615384616
myskillsmyfuture.org,"Employment and Training Administration",404,"https://www.myskillsmyfuture.org/404.aspx",false,0,0,0
nasa-usa.de,"National Aeronautical and Space Administration",200,"https://www.nasa.gov/wp-sitemap.xml",true,14589,0,0.22807017543859653
mymcx.com,"U.S. Marine Corps",404,"https://www.mymcx.com/sitemap.xml",false,0,0,0
moon-cal.org,"U.S. Geological Survey",500,"undefined",false,0,0,0
midlandsareacfc.org,"Combined Federal Campaign",500,"undefined",false,0,0,0
michcfc.org,"Combined Federal Campaign",500,"undefined",false,0,0,0
myedaccount.com,"Department of Education",200,"http://myedaccount.com/sitemap.xml",false,0,0,0
nationalatlas.org,"Department of Interior",404,"http://www.nationalatlas.org/sitemap.xml",false,0,0,1
metrodenvercfc.org,"Combined Federal Campaign",500,"undefined",false,0,0,0
mdacareers.com,"Missile Defense Agency",200,"https://manhattansignshop.nyc/",false,0,0,0
minneapolisfed.org,"Federal Reserve Board",200,"https://www.minneapolisfed.org/sitemap.xml",true,15970,0,0.9767441860465116
micanaldepanama.com,"Autoridad del Canal de Panama/Panama Canal Authority",200,"https://pancanal.com/sitemap_index.xml",true,2771,21,0.9655172413793104
miamivalleycfc.org,"Combined Federal Campaign",404,"https://miamivalleycfc.org/sitemap.xml",false,0,0,0
mcmregistration.com,"U.S. Marine Corps",404,"https://mcmregistration.com/sitemap.xml",false,0,0,0
moneyfactory.com,"Bureau of Engraving and Printing",200,"https://www.moneyfactory.com/sitemap_index.xml",true,102,0,0.9444444444444444
marines.com,"U.S. Marine Corps",200,"https://www.marines.com/sitemap.xml",true,61,0,0
marineforlife.org,"U.S. Marine Corps",200,"https://www.usmc-mccs.org/marine-family-support/transition-readiness-program/marine-for-life-network",false,0,0,0
maricopacfc.org,"Combined Federal Campaign",200,"https://www.maricopacfc.org/",false,0,7,0
makersinspaces.org,"Department of State",500,"undefined",false,0,0,0
manufacturingusa.com,"National Institute of Standards and Technology",404,"https://www.manufacturingusa.com/sitemap.xml",false,0,0,0
martinoticias.com,"U.S. Agency for Global Media",200,"https://www.martinoticias.com/sitemap.xml",true,0,0,0
lifeasamarine.com,"U.S. Marine Corps",500,"undefined",false,0,0,0
marinemarathon.com,"U.S. Marine Corps",200,"https://www.marinemarathon.com/sitemap_index.xml",true,623,0,1
leopold.wilderness.net,"U.S. Forest Service",404,"https://leopold.wilderness.net/sitemap.xml",false,0,0,0
ktcfc.org,"Combined Federal Campaign",500,"undefined",false,0,0,0
knowyouroptions.com,"Federal National Mortgage Association",200,"https://yourhome.fanniemae.com/",false,0,0,0
livingmemorialsproject.net,"U.S. Forest Service",200,"https://www.livingmemorialsproject.net/sitemap.xml",true,19,0,0.4516129032258065
kansascfc.org,"Combined Federal Campaign",500,"undefined",false,0,0,0
johnsoncity-mountainhomecfc.org,"Combined Federal Campaign",500,"undefined",false,0,0,0
lbjlibrary.org,"National Archives and Records Administration",200,"https://www.lbjlibrary.org/sitemap.xml",true,1573,0,0.9148936170212766
jlab.org,"Department of Energy",200,"https://www.jlab.org/sitemap.xml",true,4000,0,0.3203883495145631
jfklibrary.org,"National Archives and Records Administration",200,"https://www.jfklibrary.org/sitemap.xml",true,2000,0,0
inwcfc.org,"Combined Federal Campaign",500,"undefined",false,0,0,0
intermountaincfc.org,"Combined Federal Campaign",500,"undefined",false,0,0,0
marshallcenter.org,"George C. Marshall European Center for Security Studies",500,"undefined",false,0,0,0
informationrx.org,"Health and Human Services",500,"undefined",false,0,0,0
illowacfc.org,"Combined Federal Campaign",500,"undefined",false,0,0,0
iipdigital.ait.org.tw,"Department of State",500,"undefined",false,0,0,0
jamrs.org,"Department of Defense",404,"https://jamrs.defense.gov/sitemap.xml",false,0,0,0
literacydirectory.org,"Department of Education",500,"undefined",false,0,0,0
huduser.org,"Department of Housing and Urban Development",202,"https://huduser.org/sitemap.xml",false,0,0,1
hudnsphelp.info,"Department of Housing and Urban Development",404,"https://hudnsphelp.info/sitemap.xml",false,0,0,0
insidevoa.com,"U.S. Agency for Global Media",200,"https://www.insidevoa.com/sitemap.xml",true,0,0,0
hudexchange.info,"Department of Housing and Urban Development",404,"undefined",false,0,0,0
hudhomestore.com,"Department of Housing and Urban Development",200,"https://www.hudhomestore.gov/sitemap.xml",false,0,0,0
